ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
1000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 9.4000000000000004e+00
0.0000000000000000e+00 9.4000000000000004e+00
0.0000000000000000e+00 9.4000000000000004e+00
ITEM: ATOMS id type x y z vx vy vz
1 1 0.47 0.47 0.47 -0.313651 -1.27463 -0.0515485
2 1 1.41 0.47 0.47 0.281651 -0.630772 -0.209565
3 1 2.35 0.47 0.47 -0.0455212 -0.573758 -0.391829
4 1 3.29 0.47 0.47 -0.528422 -0.156668 -0.347159
5 1 4.23 0.47 0.47 0.063045 0.452788 -0.495597
6 1 5.17 0.47 0.47 0.920173 -1.84213 -0.974389
7 1 6.11 0.47 0.47 0.0914771 -0.390143 0.476902
8 1 7.05 0.47 0.47 -0.74756 -0.138306 -0.258968
9 1 7.99 0.47 0.47 -0.195131 0.485372 -0.625273
10 1 8.93 0.47 0.47 1.69027 -0.307311 -0.877889
11 1 0.47 1.41 0.47 -0.708287 0.740498 0.475327
12 1 1.41 1.41 0.47 -0.897595 -0.512397 0.169899
13 1 2.35 1.41 0.47 -0.173452 -0.0522341 -0.898281
14 1 3.29 1.41 0.47 -0.644679 0.818567 -0.327614
15 1 4.23 1.41 0.47 1.84933 0.615391 -0.1176
16 1 5.17 1.41 0.47 0.735379 0.0105359 -0.353327
17 1 6.11 1.41 0.47 0.334873 1.11862 0.448739
18 1 7.05 1.41 0.47 0.462394 0.946816 0.559116
19 1 7.99 1.41 0.47 -0.801136 -1.08043 -0.518649
20 1 8.93 1.41 0.47 0.308226 0.477756 -1.14815
21 1 0.47 2.35 0.47 1.32363 -0.657846 0.887094
22 1 1.41 2.35 0.47 0.349597 0.313989 0.558391
23 1 2.35 2.35 0.47 -1.53991 -0.61822 -0.0878958
24 1 3.29 2.35 0.47 -0.695595 -0.46997 0.834837
25 1 4.23 2.35 0.47 0.0495641 0.178975 0.348533
26 1 5.17 2.35 0.47 0.0964528 -0.222263 0.263403
27 1 6.11 2.35 0.47 -0.98914 0.150424 0.138074
